asset_id,filename,folder,category,width,height,aspect_ratio,characters_present,location,story_role,evidence_id,critical_or_filler,notes
CHAR-001,sarah_profile.webp,characters,character,1024,1024,1:1,Sarah Mehta,Sarah's Apartment,contact avatar and identity master,,critical,Canonical identity reference for every Sarah image
CHAR-002,alex_profile.webp,characters,character,1024,1024,1:1,Alex,Alex's Apartment,contact avatar and identity master,,critical,Canonical identity reference for every Alex image
CHAR-003,maya_profile.webp,characters,character,1024,1024,1:1,Maya,Sarah's Apartment,contact avatar and identity master,,critical,Canonical identity reference for every Maya image
CHAR-004,ryan_profile.webp,characters,character,1024,1024,1:1,Ryan Desai,Tech Park,contact avatar and identity master,,critical,Canonical identity reference for every Ryan image
CHAR-005,daniel_profile.webp,characters,character,1024,1024,1:1,Daniel,Urban interior,contact avatar and identity master,,critical,Canonical identity reference for every Daniel image
CHAR-006,unknown_avatar.webp,characters,character,1024,1024,1:1,Unknown Caller,Central Station,obscured contact avatar,,critical,No identifiable face; or identity-revealing detail
GAL-001,sarah_selfie_home.webp,gallery,normal gallery,1536,2048,3:4,Sarah Mehta,Sarah's Apartment,ordinary personal photo,,filler,Canonical Sarah; natural front-camera imperfection
GAL-002,sarah_selfie_cafe.webp,gallery,normal gallery,1536,2048,3:4,Sarah Mehta,Bluebird Café,ordinary personal photo,,filler,Daytime café continuity; no readable signage
GAL-003,sarah_maya_day.webp,gallery,normal gallery,2048,1536,4:3,Sarah Mehta; Maya,Riverside,friendship history,,filler,Both canonical identities preserved
GAL-004,sarah_alex_old.webp,gallery,normal gallery,2048,1536,4:3,Sarah Mehta; Alex,Rooftop gathering,relationship history,,critical,Older-phone treatment; understated body language
GAL-005,sarah_office.webp,gallery,normal gallery,2048,1536,4:3,Sarah Mehta,Tech Park,workplace context,,filler,Documents contain no readable clue text
GAL-006,coffee_table.webp,gallery,normal gallery,2048,1536,4:3,,Bluebird Café,mundane gallery filler,,filler,No clue emphasis
GAL-007,city_evening.webp,gallery,normal gallery,2048,1536,4:3,,Fictional city,world building,,filler,No identifiable landmark or plate
GAL-008,book_notes.webp,gallery,normal gallery,2048,1536,4:3,,Sarah's Apartment,mundane personal context,,filler,No readable important text
